"","city_name","lon","lat","dest.sum","origin.sum"
"105","Fort Lauderdale, FL",-80.1373174,26.1224386,88764,88767
"106","Fort Myers, FL",-81.8723084,26.640628,31205,31205
"107","Fort Smith, AR",-94.3985475,35.3859242,1383,1383
"108","Fort Wayne, IN",-85.1393513,41.079273,6144,6144
"109","Fresno, CA",-119.7871247,36.7377981,8842,8843
"110","Gainesville, FL",-82.3248262,29.6516344,2157,2157
"111","Garden City, KS",-100.8726618,37.9716898,240,240
"112","Gillette, WY",-105.5022205,44.2910915,976,976
"113","Grand Forks, ND",-97.0328547,47.9252568,1567,1568
"114","Grand Island, NE",-98.3420118,40.9263957,533,533
"115","Grand Junction, CO",-108.5506486,39.0638705,2874,2877
"116","Grand Rapids, MI",-85.6680863,42.9633599,12658,12662
"117","Great Falls, MT",-111.3007715,47.5052849,1636,1636
"118","Green Bay, WI",-88.0132958,44.5133188,4425,4425
"119","Greensboro/High Point, NC",-79.8296743,36.0899873,7853,7847
"120","Greenville, NC",-77.3663538,35.612661,100,99
"121","Greer, SC",-82.2270568,34.9387279,8201,8200
"122","Gulfport/Biloxi, MS",-89.0928155,30.3674198,2893,2893
"123","Gunnison, CO",-106.9253207,38.5458246,183,183
"124","Gustavus, AK",-135.7369443,58.4133333,84,84
"125","Hagerstown, MD",-77.7199932,39.6417629,35,35
"126","Hancock/Houghton, MI",-88.5809563,47.1268714,728,727
"127","Harlingen/San Benito, TX",-97.6311006,26.132576,2826,2826
"128","Harrisburg, PA",-76.8867008,40.2731911,4262,4263
"129","Hartford, CT",-72.6733723,41.7658043,23969,23966
"130","Hattiesburg/Laurel, MS",-89.335421,31.468239,722,722
"131","Hayden, CO",-107.2636842,40.4894302,1130,1131
"132","Hays, KS",-99.3267702,38.8791783,663,664
"133","Helena, MT",-112.0391057,46.5891452,1667,1670
"134","Hibbing, MN",-92.9376887,47.4271546,623,624
"135","Hilo, HI",-155.0868193,19.7241106,6573,6208
"136","Hobbs, NM",-103.1360403,32.7026116,659,659
"137","Honolulu, HI",-157.8583333,21.3069444,48152,48154
"138","Houston, TX",-95.3698028,29.7604267,196851,196892
"139","Huntsville, AL",-86.5861037,34.7303688,5397,5398
"140","Hyannis, MA",-70.2881124,41.6524911,94,94
"141","Idaho Falls, ID",-112.0407584,43.4926607,2455,2455
"142","Indianapolis, IN",-86.158068,39.768403,34036,34035
"143","International Falls, MN",-93.4040679,48.6023149,625,625
"144","Iron Mountain/Kingsfd, MI",-88.0720706,45.7949561,676,676
"145","Islip, NY",-73.2103934,40.7298207,5924,5923
"146","Ithaca/Cortland, NY",-76.5002026,42.4383677,1004,1002
"147","Jackson, WY",-110.7624282,43.4799291,3726,3725
"148","Jackson/Vicksburg, MS",-90.8745758,32.3522304,5489,5489
"149","Jacksonville, FL",-81.655651,30.3321838,20777,20775
"150","Jacksonville/Camp Lejeune, NC",-77.4013403,34.6250544,1472,1473
"151","Jamestown, ND",-98.7084357,46.9105438,987,987
"152","Joplin, MO",-94.513281,37.0842271,466,466
"153","Juneau, AK",-134.4197221,58.3019444,4429,4429
"154","Kahului, HI",-156.4729469,20.8893351,24609,24607
"155","Kalamazoo, MI",-85.5872286,42.2917069,2341,2341
"156","Kalispell, MT",-114.316813,48.1919889,2368,2369
"157","Kansas City, MO",-94.5785667,39.0997265,48343,48337
"158","Ketchikan, AK",-131.6461112,55.3422222,2426,2426
"159","Key West, FL",-81.7799871,24.5550593,2818,2816
"160","Killeen, TX",-97.7277959,31.1171194,1865,1865
"161","King Salmon, AK",-156.661351,58.6883251,63,63
"162","Knoxville, TN",-83.9207392,35.9606384,9190,9194
"163","Kodiak, AK",-152.4072221,57.79,645,645
"164","Kona, HI",-155.9969261,19.639994,13792,14159
"165","Kotzebue, AK",-162.5966666,66.8983333,720,720
"166","La Crosse, WI",-91.2519017,43.8137751,2096,2096
"167","Lafayette, LA",-92.0198427,30.2240897,2987,2987
"168","Lake Charles, LA",-93.2173758,30.2265949,1283,1284
"169","Lansing, MI",-84.5555347,42.732535,2573,2576
"170","Laramie, WY",-105.5911007,41.3113669,624,624
"171","Laredo, TX",-99.4803241,27.5305671,1961,1962
"172","Las Vegas, NV",-115.1398296,36.1699412,155120,155112
"173","Latrobe, PA",-79.3794811,40.3211808,1055,1057
"174","Lawton/Fort Sill, OK",-98.4184224,34.5938359,947,948
"175","Lewisburg, WV",-80.4456303,37.8017879,58,58
"176","Lewiston, ID",-117.001189,46.4004089,759,759
"177","Lexington, KY",-84.5037164,38.0405837,6359,6353
"178","Liberal, KS",-100.920999,37.0430812,144,143
"179","Lihue, HI",-159.3711111,21.9811111,13103,13104
"180","Lincoln, NE",-96.7025955,40.813616,2525,2526
"181","Little Rock, AR",-92.2895948,34.7464809,9298,9295
"182","Long Beach, CA",-118.1937395,33.7700504,17013,17012
"183","Longview, TX",-94.7404891,32.5007037,223,223
"184","Los Angeles, CA",-118.2436849,34.0522342,216659,216648
"185","Louisville, KY",-85.7584557,38.2526647,13470,13473
"186","Lubbock, TX",-101.8551665,33.5778631,4857,4858
"187","Lynchburg, VA",-79.1422464,37.4137536,304,303
"188","Madison, WI",-89.4012302,43.0730517,10003,10001
"189","Mammoth Lakes, CA",-118.972079,37.648546,104,104
"190","Manchester, NH",-71.4547891,42.9956397,7737,7738
"191","Manhattan/Ft. Riley, KS",-96.5716694,39.1836082,1436,1435
"192","Marquette, MI",-87.3955954,46.5475825,1010,1010
"193","Martha's Vineyard, MA",-70.645473,41.3804981,241,241
"194","Medford, OR",-122.8755949,42.3265152,3855,3852
"195","Melbourne, FL",-80.6081089,28.0836269,1872,1871
"196","Memphis, TN",-90.0489801,35.1495343,17064,17065
"197","Meridian, MS",-88.703656,32.3643098,1087,1087
"198","Miami, FL",-80.1917902,25.7616798,71263,71263
"199","Midland/Odessa, TX",-102.3676431,31.8456816,6386,6386
"200","Milwaukee, WI",-87.9064736,43.0389025,30948,30961
"201","Minneapolis, MN",-93.2650108,44.977753,143219,143233
"202","Minot, ND",-101.2922906,48.2329668,1956,1957
"203","Mission/McAllen/Edinburg, TX",-98.3252932,26.2159066,2816,2815
"204","Missoula, MT",-113.9940314,46.8721284,2480,2481
"205","Mobile, AL",-88.0398912,30.6953657,4556,4556
"206","Moline, IL",-90.5151342,41.5067003,3656,3658
"207","Monroe, LA",-92.1193012,32.5093109,2312,2311
"208","Monterey, CA",-121.8946761,36.6002378,2840,2839
"209","Montgomery, AL",-86.2999689,32.3668052,2228,2228
"210","Montrose/Delta, CO",-108.0300893,38.7030605,920,920
"211","Mosinee, WI",-89.7031784,44.7930232,1705,1704
"212","Muskegon, MI",-86.2483921,43.2341813,686,686
"213","Myrtle Beach, SC",-78.8866943,33.6890603,7670,7669
"214","Nantucket, MA",-70.099451,41.2834704,665,665
"215","Nashville, TN",-86.7816016,36.1626638,61076,61065
"216","New Bern/Morehead/Beaufort, NC",-76.7239774,34.6988297,823,826
"217","New Haven, CT",-72.9278835,41.308274,344,344
"218","New Orleans, LA",-90.0715323,29.9510658,50903,50904
"219","New York, NY",-74.0059728,40.7127753,218827,218826
"220","Newark, NJ",-74.1723667,40.735657,123910,123906
"221","Newburgh/Poughkeepsie, NY",-73.7477857,41.6230989,1515,1516
"222","Newport News/Williamsburg, VA",-76.492778,37.131667,1663,1663
"223","Niagara Falls, NY",-79.0377388,43.0962143,606,608
"224","Nome, AK",-165.4063889,64.5011111,718,718
"225","Norfolk, VA",-76.2858726,36.8507689,14663,14663
"226","North Bend/Coos Bay, OR",-124.2242803,43.4065012,327,326
"227","North Platte, NE",-100.7601454,41.1402759,152,150
"228","Oakland, CA",-122.2711137,37.8043637,51196,51222
"229","Ogden, UT",-111.9738304,41.223,55,55
"230","Ogdensburg, NY",-75.4863364,44.6942291,68,68
"231","Oklahoma City, OK",-97.5164276,35.4675602,17168,17167
"232","Omaha, NE",-95.9345034,41.2565369,20867,20869
"233","Ontario, CA",-117.6508876,34.0633443,21106,21106
"234","Orlando, FL",-81.3792365,28.5383355,129171,129151
"235","Owensboro, KY",-87.1111676,37.7719074,37,37
"236","Paducah, KY",-88.6000478,37.0833893,688,688
"237","Palm Springs, CA",-116.5452921,33.8302961,9600,9599
"238","Panama City, FL",-85.6602058,30.1588129,4512,4512
"239","Pasco/Kennewick/Richland, WA",-119.119948,46.2086683,3802,3804
"240","Pellston, MI",-84.7839364,45.552789,1026,1024
"241","Pensacola, FL",-87.2169149,30.421309,6875,6872
"242","Peoria, IL",-89.5889864,40.6936488,3654,3653
"243","Petersburg, AK",-132.9555556,56.8125,726,726
"244","Philadelphia, PA",-75.1652215,39.9525839,85062,85047
"245","Phoenix, AZ",-112.0740373,33.4483771,162306,162296
"246","Pittsburgh, PA",-79.9958864,40.4406248,35197,35199
"247","Plattsburgh, NY",-73.4529124,44.6994873,561,561
"248","Pocatello, ID",-112.4506191,42.8621042,1068,1068
"249","Portland, ME",-70.2568189,43.6590993,7327,7327
"250","Portland, OR",-122.6587185,45.5122308,63678,63687
"251","Portsmouth, NH",-70.7625532,43.0717552,115,117
"252","Providence, RI",-71.4128343,41.8239891,15392,15390
"253","Provo, UT",-111.6585337,40.2338438,169,169
"254","Pueblo, CO",-104.6091409,38.2544472,329,329
"255","Punta Gorda, FL",-82.0453664,26.9297836,1980,1976
"256","Quincy, IL",-91.4098726,39.9356016,385,384
"257","Raleigh/Durham, NC",-78.8636402,35.8991678,43550,43547
"258","Rapid City, SD",-103.2310149,44.0805434,3546,3545
"259","Redding, CA",-122.3916754,40.5865396,1065,1065
"260","Reno, NV",-119.8138027,39.5296329,16593,16590
"261","Rhinelander, WI",-89.4120753,45.6366228,726,726
"262","Richmond, VA",-77.4360481,37.5407246,18166,18166
"263","Roanoke, VA",-79.9414266,37.2709704,1765,1765
"264","Rochester, MN",-92.4801989,44.0121221,3116,3117
"265","Rochester, NY",-77.6088465,43.1565779,9690,9693
"266","Rock Springs, WY",-109.2029043,41.5874644,673,673
"267","Rockford, IL",-89.0939952,42.2711311,258,258
"268","Roswell, NM",-104.5230242,33.3942655,715,715
"269","Sacramento, CA",-121.4943996,38.5815719,45836,45838
"270","Saginaw/Bay City/Midland, MI",-84.081498,43.538647,2715,2711
"271","Salina, KS",-97.6114237,38.8402805,57,56
"272","Salt Lake City, UT",-111.8910474,40.7607793,112296,112248
"273","San Angelo, TX",-100.4370375,31.4637723,1074,1074
"274","San Antonio, TX",-98.4936282,29.4241219,35326,35319
"275","San Diego, CA",-117.1610838,32.715738,86860,86872
"276","San Francisco, CA",-122.4194155,37.7749295,177687,177658
"277","San Jose, CA",-121.8863286,37.3382082,51163,51177
"278","San Luis Obispo, CA",-120.6596156,35.2827524,3818,3818
"279","Sanford, FL",-81.269453,28.8028612,3311,3306
"280","Santa Ana, CA",-117.867653,33.7454725,41959,41953
"281","Santa Barbara, CA",-119.6981901,34.4208305,5830,5830
"282","Santa Fe, NM",-105.937799,35.6869752,1457,1456
"283","Santa Maria, CA",-120.4357191,34.9530337,52,52
"284","Santa Rosa, CA",-122.7140548,38.440429,1484,1482
"285","Sarasota/Bradenton, FL",-82.5306527,27.3364347,3923,3924
"286","Sault Ste. Marie, MI",-84.3475876,46.4977115,676,676
"287","Savannah, GA",-81.091203,32.0808989,9943,9945
"288","Scottsbluff, NE",-103.6671662,41.8666341,156,155
"289","Scranton/Wilkes-Barre, PA",-75.9927652,41.2981769,2408,2407
"290","Seattle, WA",-122.3320708,47.6062095,139124,139132
"291","Shreveport, LA",-93.7501789,32.5251516,5282,5285
"292","Sioux City, IA",-96.4049408,42.4963416,397,397
"293","Sioux Falls, SD",-96.7311034,43.5445959,4987,4990
"294","Sitka, AK",-135.33,57.0530556,1344,1344
"295","South Bend, IN",-86.2519898,41.6763545,5653,5653
"296","Spokane, WA",-117.4260465,47.6587802,12144,12143
"297","Springfield, IL",-89.6501481,39.7817213,1295,1295
"298","Springfield, MO",-93.2922989,37.2089572,4700,4699
"299","St. Augustine, FL",-81.3124341,29.9012437,60,60
"300","St. Cloud, MN",-94.1632404,45.5579451,71,71
"301","St. George, UT",-113.5684164,37.0965278,3031,3030
"302","St. Louis, MO",-90.1994042,38.6270025,59344,59350
"303","St. Petersburg, FL",-82.6402915,27.7676008,2561,2559
"304","State College, PA",-77.8600012,40.7933949,1493,1494
"305","Staunton, VA",-79.0716958,38.149576,75,74
"306","Stillwater, OK",-97.0583681,36.1156071,228,227
"307","Stockton, CA",-121.2907796,37.9577016,223,223
"308","Sun Valley/Hailey/Ketchum, ID",-114.3311763,43.6761518,1282,1277
"309","Syracuse, NY",-76.1474244,43.0481221,8784,8781
"310","Tallahassee, FL",-84.2807329,30.4382559,3349,3348
"311","Tampa, FL",-82.4571776,27.950575,70940,70944
"312","Texarkana, AR",-94.0376881,33.4417915,328,329
"313","Toledo, OH",-83.5378674,41.6528052,943,942
"314","Traverse City, MI",-85.6206317,44.7630567,3268,3272
"315","Trenton, NJ",-74.759717,40.2205824,2152,2149
"316","Tucson, AZ",-110.9747108,32.2226066,15954,15958
"317","Tulsa, OK",-95.992775,36.1539816,14781,14779
"318","Twin Falls, ID",-114.4700518,42.5558381,1087,1169
"319","Tyler, TX",-95.3010624,32.3512601,478,478
"320","Valdosta, GA",-83.2784851,30.8327022,667,668
"321","Valparaiso, FL",-86.5027282,30.5085309,4646,4645
"322","Waco, TX",-97.1466695,31.549333,469,468
"323","Washington, DC",-77.0368707,38.9071923,138477,138488
"324","Waterloo, IA",-92.3425775,42.492786,646,647
"325","West Palm Beach/Palm Beach, FL",-80.0533746,26.7153424,24666,24668
"326","West Yellowstone, MT",-111.1041092,44.6621493,232,232
"327","White Plains, NY",-73.7629097,41.0339862,7688,7685
"328","Wichita Falls, TX",-98.4933873,33.9137085,355,354
"329","Wichita, KS",-97.330053,37.6871761,8712,8713
"330","Williston, ND",-103.6179745,48.1469683,1327,1326
"331","Wilmington, NC",-77.9447102,34.2257255,3294,3293
"332","Worcester, MA",-71.8022934,42.2625932,730,718
"333","Wrangell, AK",-132.3766666,56.4708333,726,726
"334","Yakutat, AK",-139.7272808,59.5469878,724,724
"335","Youngstown/Warren, OH",-80.8184166,41.2375569,2,2
"336","Yuma, AZ",-114.6276916,32.6926512,1379,1380
