"","city_name","lon","lat","dest_cancelled.counter","dest_delay.counter","dest_nas_delay.counter","dest_carrier_delay.counter","dest_weather_delay.counter","dest_security_delay.counter","dest_late_aircraft_delay.counter","origin_flights.sum","origin_cancelled.counter","origin_delay.counter","origin_nas_delay.counter","origin_carrier_delay.counter","origin_weather_delay.counter","origin_security_delay.counter","origin_late_aircraft_delay.counter"
"190","Manchester, NH",-71.4547891,42.9956397,251,3015,460,847,57,0,930,7738,256,2018,652,430,37,1,594
"191","Manhattan/Ft. Riley, KS",-96.5716694,39.1836082,21,390,166,145,30,0,164,1435,25,275,139,83,13,0,120
"192","Marquette, MI",-87.3955954,46.5475825,35,229,86,58,18,0,78,1010,38,236,133,60,13,2,78
"193","Martha's Vineyard, MA",-70.645473,41.3804981,3,81,20,40,3,0,23,241,6,158,50,43,5,4,46
"194","Medford, OR",-122.8755949,42.3265152,43,1042,380,301,26,0,405,3852,41,1227,409,179,13,1,407
"195","Melbourne, FL",-80.6081089,28.0836269,22,506,107,165,31,2,112,1871,24,393,109,98,16,0,119
"196","Memphis, TN",-90.0489801,35.1495343,272,6147,1379,1862,231,7,1642,17065,291,5054,1360,1253,119,3,1450
"197","Meridian, MS",-88.703656,32.3643098,27,396,150,124,12,2,173,1087,26,402,187,66,10,2,254
"198","Miami, FL",-80.1917902,25.7616798,1645,23069,6986,6822,792,41,5025,71263,1607,23820,6945,6682,1020,46,5103
"199","Midland/Odessa, TX",-102.3676431,31.8456816,112,2211,491,627,57,4,706,6386,125,1836,417,428,59,7,658
"200","Milwaukee, WI",-87.9064736,43.0389025,441,11229,2383,3155,236,16,3360,30961,447,9306,2734,2008,273,8,2524
"201","Minneapolis, MN",-93.2650108,44.977753,1646,38892,9893,8809,1301,61,9787,143233,1631,38008,12941,9523,1190,23,7892
"202","Minot, ND",-101.2922906,48.2329668,33,449,154,121,13,0,131,1957,36,396,99,79,28,5,101
"203","Mission/McAllen/Edinburg, TX",-98.3252932,26.2159066,71,713,215,275,56,0,207,2815,76,536,169,160,15,1,175
"204","Missoula, MT",-113.9940314,46.8721284,9,630,208,178,16,1,153,2481,10,549,152,79,20,0,162
"205","Mobile, AL",-88.0398912,30.6953657,125,1120,364,357,59,1,373,4556,134,967,354,206,23,0,397
"206","Moline, IL",-90.5151342,41.5067003,58,1062,347,378,39,0,362,3658,70,921,357,213,45,1,387
"207","Monroe, LA",-92.1193012,32.5093109,42,530,146,175,16,0,203,2311,43,493,175,127,13,0,221
"208","Monterey, CA",-121.8946761,36.6002378,53,775,309,191,7,0,404,2839,54,706,407,74,5,0,373
"209","Montgomery, AL",-86.2999689,32.3668052,45,695,240,247,38,1,283,2228,50,741,236,196,19,1,313
"210","Montrose/Delta, CO",-108.0300893,38.7030605,17,230,98,100,9,0,62,920,19,248,102,41,3,1,122
"211","Mosinee, WI",-89.7031784,44.7930232,45,397,164,166,21,1,138,1704,51,350,185,72,12,1,185
"212","Muskegon, MI",-86.2483921,43.2341813,28,161,46,66,10,0,50,686,28,159,76,12,1,0,99
"213","Myrtle Beach, SC",-78.8866943,33.6890603,182,1860,683,460,78,8,363,7669,195,1984,890,315,13,5,457
"214","Nantucket, MA",-70.099451,41.2834704,19,219,84,100,27,1,71,665,22,362,135,96,4,25,134
"215","Nashville, TN",-86.7816016,36.1626638,771,23476,4409,6565,509,35,6662,61065,825,24051,5302,5779,418,35,6670
"216","New Bern/Morehead/Beaufort, NC",-76.7239774,34.6988297,22,265,90,102,10,1,95,826,25,196,54,51,8,0,71
"217","New Haven, CT",-72.9278835,41.308274,42,116,33,42,11,1,38,344,53,77,34,32,1,0,32
"218","New Orleans, LA",-90.0715323,29.9510658,803,19003,4704,5644,483,22,5132,50904,860,19091,4602,4683,528,22,5625
"219","New York, NY",-74.0059728,40.7127753,7921,82624,32579,20756,2356,158,22625,218826,7898,73127,27273,24910,2218,176,22707
"220","Newark, NJ",-74.1723667,40.735657,3889,50373,27887,9004,1208,36,11384,123906,3800,42503,15218,14557,1124,57,16278
"221","Newburgh/Poughkeepsie, NY",-73.7477857,41.6230989,40,581,189,242,25,1,195,1516,49,611,189,201,10,4,334
"222","Newport News/Williamsburg, VA",-76.492778,37.131667,41,532,111,194,25,1,142,1663,45,428,95,91,8,0,160
"223","Niagara Falls, NY",-79.0377388,43.0962143,21,162,53,37,7,3,31,608,26,170,80,36,4,0,56
"224","Nome, AK",-165.4063889,64.5011111,32,133,49,30,10,1,23,718,31,157,59,19,10,16,45
"225","Norfolk, VA",-76.2858726,36.8507689,467,5131,1105,1569,202,2,1419,14663,472,4335,1300,1116,73,7,1253
"226","North Bend/Coos Bay, OR",-124.2242803,43.4065012,13,155,51,30,5,0,93,326,14,140,48,6,2,0,93
"227","North Platte, NE",-100.7601454,41.1402759,2,30,12,10,2,0,11,150,3,17,12,2,1,0,10
"228","Oakland, CA",-122.2711137,37.8043637,595,23541,3594,6056,152,28,6954,51222,563,23832,4309,6252,107,48,6392
"229","Ogden, UT",-111.9738304,41.223,1,4,2,2,0,0,1,55,1,29,6,5,0,0,3
