"","city_name","lat","lon","flights.sum","cancelled.counter","delay.counter","nas_delay.counter","carrier_delay.counter","weather_delay.counter","security_delay.counter","late_aircraft_delay.counter"
"73","Cordova, AK",60.5424087,-145.7525414,724,8,143,66,11,3,9,65
"74","Corpus Christi, TX",27.8005828,-97.396381,3585,138,853,306,157,31,0,351
"75","Dallas, TX",32.7766642,-96.7969879,70155,1021,38924,7005,10979,663,88,11352
"76","Dallas/Fort Worth, TX",32.8998091,-97.0403352,210467,2870,72012,21385,23691,3287,54,18431
"77","Dayton, OH",39.7589478,-84.1916069,8333,211,2348,929,600,72,0,898
"78","Daytona Beach, FL",29.2108147,-81.0228331,2515,39,657,167,171,22,0,229
"79","Deadhorse, AK",70.2001996,-148.4597191,763,15,102,24,8,9,0,30
"80","Denver, CO",39.7392358,-104.990251,226778,1324,82496,22305,20736,1672,49,20430
"81","Des Moines, IA",41.6005448,-93.6091064,10464,138,2735,993,632,132,10,831
"82","Detroit, MI",42.331427,-83.0457538,137387,1556,39098,13038,10893,1318,39,8929
"83","Devils Lake, ND",48.112779,-98.8651202,624,21,117,29,18,4,1,31
"84","Dillingham, AK",59.0397222,-158.4575,84,0,20,6,3,0,4,2
"85","Dothan, AL",31.2232313,-85.3904888,1293,18,359,173,88,13,0,168
"86","Dubuque, IA",42.5005583,-90.6645718,343,22,69,46,11,10,0,29
"87","Duluth, MN",46.7866719,-92.1004852,2724,99,573,236,82,20,0,249
"88","Durango, CO",37.27528,-107.8800667,1926,28,383,141,61,18,0,169
"89","Eagle, CO",39.6552634,-106.8286507,1795,39,557,190,124,29,0,213
"90","Eau Claire, WI",44.811349,-91.4984941,687,21,138,57,29,0,0,47
"91","El Paso, TX",31.7618778,-106.4850217,12394,149,4373,801,1030,67,5,1363
"92","Elko, NV",40.8324211,-115.7631232,660,3,99,35,7,4,2,29
"93","Elmira/Corning, NY",42.15987,-76.893638,288,0,97,21,25,3,0,34
"94","Erie, PA",42.1292241,-80.085059,1369,21,291,93,39,7,0,134
"95","Escanaba, MI",45.7452466,-87.0645801,625,13,193,53,20,6,1,88
"96","Eugene, OR",44.0520691,-123.0867536,4149,12,1123,482,192,28,1,375
"97","Evansville, IN",37.9715592,-87.5710898,2682,54,573,240,156,32,0,173
"98","Fairbanks, AK",64.8377778,-147.7163888,3603,20,611,198,142,8,8,103
"99","Fargo, ND",46.8771863,-96.7898034,4141,66,912,404,204,34,3,337
"100","Fayetteville, AR",36.082156,-94.1718542,7510,144,1774,622,304,89,3,685
"101","Fayetteville, NC",35.0526641,-78.8783585,1937,32,603,157,133,16,0,226
"102","Flagstaff, AZ",35.1982836,-111.651302,1286,20,278,79,34,5,3,72
"103","Flint, MI",43.0125274,-83.6874562,4107,78,1111,487,280,30,4,431
"104","Florence, SC",34.1954331,-79.7625625,156,3,64,10,31,0,0,24
"105","Fort Lauderdale, FL",26.1224386,-80.1373174,88767,2056,34941,11391,10716,1304,213,9253
"106","Fort Myers, FL",26.640628,-81.8723084,31205,617,10089,2806,2490,178,9,3107
"107","Fort Smith, AR",35.3859242,-94.3985475,1383,22,231,75,64,14,0,113
"108","Fort Wayne, IN",41.079273,-85.1393513,6144,77,1585,604,458,56,3,558
"109","Fresno, CA",36.7377981,-119.7871247,8843,53,2035,721,498,20,2,549
"110","Gainesville, FL",29.6516344,-82.3248262,2157,35,662,179,184,18,0,254
"111","Garden City, KS",37.9716898,-100.8726618,240,5,65,14,11,7,0,17
"112","Gillette, WY",44.2910915,-105.5022205,976,14,169,67,27,10,1,76
"113","Grand Forks, ND",47.9252568,-97.0328547,1568,28,273,100,59,19,5,112
"114","Grand Island, NE",40.9263957,-98.3420118,533,11,187,75,51,21,2,41
"115","Grand Junction, CO",39.0638705,-108.5506486,2877,9,380,110,56,7,0,126
"116","Grand Rapids, MI",42.9633599,-85.6680863,12662,199,3579,1342,857,136,2,1223
"117","Great Falls, MT",47.5052849,-111.3007715,1636,6,278,80,51,20,0,73
"118","Green Bay, WI",44.5133188,-88.0132958,4425,94,796,381,128,27,1,370
"119","Greensboro/High Point, NC",36.0899873,-79.8296743,7847,214,2058,874,487,45,1,733
"120","Greenville, NC",35.612661,-77.3663538,99,3,42,11,19,0,1,16
"121","Greer, SC",34.9387279,-82.2270568,8200,138,2262,650,477,30,6,622
"122","Gulfport/Biloxi, MS",30.3674198,-89.0928155,2893,62,610,212,127,23,0,199
"123","Gunnison, CO",38.5458246,-106.9253207,183,2,40,10,3,1,0,19
"124","Gustavus, AK",58.4133333,-135.7369443,84,4,14,7,6,0,2,8
"125","Hagerstown, MD",39.6417629,-77.7199932,35,0,20,6,5,3,1,14
"126","Hancock/Houghton, MI",47.1268714,-88.5809563,727,40,126,64,30,7,2,55
"127","Harlingen/San Benito, TX",26.132576,-97.6311006,2826,85,988,262,245,10,1,416
"128","Harrisburg, PA",40.2731911,-76.8867008,4263,100,940,314,215,40,0,297
"129","Hartford, CT",41.7658043,-72.6733723,23966,606,6788,2078,1994,156,5,1867
"130","Hattiesburg/Laurel, MS",31.468239,-89.335421,722,30,219,86,72,5,2,88
"131","Hayden, CO",40.4894302,-107.2636842,1131,24,292,101,56,13,0,117
"132","Hays, KS",38.8791783,-99.3267702,664,13,120,45,19,3,0,46
"133","Helena, MT",46.5891452,-112.0391057,1670,7,239,122,54,9,1,51
"134","Hibbing, MN",47.4271546,-92.9376887,624,11,93,43,18,4,1,35
"135","Hilo, HI",19.7241106,-155.0868193,6208,17,1805,59,364,47,0,521
"136","Hobbs, NM",32.7026116,-103.1360403,659,21,62,41,11,7,0,11
"137","Honolulu, HI",21.3069444,-157.8583333,48154,146,12494,992,3832,202,25,1788
"138","Houston, TX",29.7604267,-95.3698028,196892,6209,62766,15271,15930,2129,57,15018
"139","Huntsville, AL",34.7303688,-86.5861037,5398,117,1167,373,248,37,1,439
"140","Hyannis, MA",41.6524911,-70.2881124,94,1,52,19,10,1,1,15
"141","Idaho Falls, ID",43.4926607,-112.0407584,2455,9,477,118,64,11,0,162
"142","Indianapolis, IN",39.768403,-86.158068,34035,484,10421,3281,2433,369,8,2878
"143","International Falls, MN",48.6023149,-93.4040679,625,12,91,40,12,1,1,54
"144","Iron Mountain/Kingsfd, MI",45.7949561,-88.0720706,676,11,200,56,29,8,2,81
"145","Islip, NY",40.7298207,-73.2103934,5923,196,2205,556,598,36,2,596
"146","Ithaca/Cortland, NY",42.4383677,-76.5002026,1002,9,248,124,58,13,1,124
"147","Jackson, WY",43.4799291,-110.7624282,3725,33,1006,343,209,40,0,304
"148","Jackson/Vicksburg, MS",32.3522304,-90.8745758,5489,124,1254,420,313,58,1,406
"149","Jacksonville, FL",30.3321838,-81.655651,20775,480,6281,1698,1692,202,6,2078
"150","Jacksonville/Camp Lejeune, NC",34.6250544,-77.4013403,1473,42,410,101,114,4,1,161
"151","Jamestown, ND",46.9105438,-98.7084357,987,43,208,49,45,5,1,74
"152","Joplin, MO",37.0842271,-94.513281,466,15,107,74,41,8,0,43
"153","Juneau, AK",58.3019444,-134.4197221,4429,50,907,325,205,23,19,226
"154","Kahului, HI",20.8893351,-156.4729469,24607,112,7198,634,2065,149,15,1861
"155","Kalamazoo, MI",42.2917069,-85.5872286,2341,57,476,233,102,23,1,253
"156","Kalispell, MT",48.1919889,-114.316813,2369,8,472,169,65,21,1,192
"157","Kansas City, MO",39.0997265,-94.5785667,48337,614,15768,3295,3214,325,23,4435
"158","Ketchikan, AK",55.3422222,-131.6461112,2426,30,583,199,94,17,4,188
"159","Key West, FL",24.5550593,-81.7799871,2816,87,769,192,139,6,1,195
"160","Killeen, TX",31.1171194,-97.7277959,1865,64,459,173,142,15,1,149
"161","King Salmon, AK",58.6883251,-156.661351,63,0,14,4,1,0,1,2
"162","Knoxville, TN",35.9606384,-83.9207392,9194,170,2409,864,629,62,2,780
"163","Kodiak, AK",57.79,-152.4072221,645,29,120,46,9,4,9,49
"164","Kona, HI",19.639994,-155.9969261,14159,56,3695,454,898,88,23,980
"165","Kotzebue, AK",66.8983333,-162.5966666,720,38,168,66,28,13,11,42
"166","La Crosse, WI",43.8137751,-91.2519017,2096,34,464,180,64,25,1,233
"167","Lafayette, LA",30.2240897,-92.0198427,2987,76,580,244,134,32,1,246
"168","Lake Charles, LA",30.2265949,-93.2173758,1284,48,157,66,46,10,0,55
"169","Lansing, MI",42.732535,-84.5555347,2576,41,546,232,99,16,0,256
"170","Laramie, WY",41.3113669,-105.5911007,624,9,112,65,26,10,0,46
"171","Laredo, TX",27.5305671,-99.4803241,1962,64,362,144,115,7,1,139
"172","Las Vegas, NV",36.1699412,-115.1398296,155112,1274,64653,13567,16519,601,94,17872
"173","Latrobe, PA",40.3211808,-79.3794811,1057,28,223,113,54,2,3,73
"174","Lawton/Fort Sill, OK",34.5938359,-98.4184224,948,29,206,100,70,12,0,83
"175","Lewisburg, WV",37.8017879,-80.4456303,58,1,16,13,4,2,0,8
"176","Lewiston, ID",46.4004089,-117.001189,759,1,57,5,6,1,0,22
"177","Lexington, KY",38.0405837,-84.5037164,6353,143,1483,706,299,54,1,580
"178","Liberal, KS",37.0430812,-100.920999,143,1,32,17,9,2,0,11
"179","Lihue, HI",21.9811111,-159.3711111,13104,72,3389,294,810,100,0,1003
"180","Lincoln, NE",40.813616,-96.7025955,2526,24,525,194,106,20,1,181
"181","Little Rock, AR",34.7464809,-92.2895948,9295,106,2673,721,652,82,3,791
"182","Long Beach, CA",33.7700504,-118.1937395,17012,116,5398,1265,1630,49,3,1825
"183","Longview, TX",32.5007037,-94.7404891,223,14,40,20,9,6,0,18
"184","Los Angeles, CA",34.0522342,-118.2436849,216648,1958,81771,21312,21826,523,142,22247
"185","Louisville, KY",38.2526647,-85.7584557,13473,258,4290,1311,1005,105,9,1301
"186","Lubbock, TX",33.5778631,-101.8551665,4858,74,1401,345,320,33,1,518
"187","Lynchburg, VA",37.4137536,-79.1422464,303,14,88,28,25,6,0,28
"188","Madison, WI",43.0730517,-89.4012302,10001,141,2311,817,386,91,1,912
"189","Mammoth Lakes, CA",37.648546,-118.972079,104,13,42,12,3,1,0,25
"190","Manchester, NH",42.9956397,-71.4547891,7738,256,2018,652,430,37,1,594
"191","Manhattan/Ft. Riley, KS",39.1836082,-96.5716694,1435,25,275,139,83,13,0,120
"192","Marquette, MI",46.5475825,-87.3955954,1010,38,236,133,60,13,2,78
"193","Martha's Vineyard, MA",41.3804981,-70.645473,241,6,158,50,43,5,4,46
"194","Medford, OR",42.3265152,-122.8755949,3852,41,1227,409,179,13,1,407
"195","Melbourne, FL",28.0836269,-80.6081089,1871,24,393,109,98,16,0,119
"196","Memphis, TN",35.1495343,-90.0489801,17065,291,5054,1360,1253,119,3,1450
"197","Meridian, MS",32.3643098,-88.703656,1087,26,402,187,66,10,2,254
"198","Miami, FL",25.7616798,-80.1917902,71263,1607,23820,6945,6682,1020,46,5103
"199","Midland/Odessa, TX",31.8456816,-102.3676431,6386,125,1836,417,428,59,7,658
"200","Milwaukee, WI",43.0389025,-87.9064736,30961,447,9306,2734,2008,273,8,2524
"201","Minneapolis, MN",44.977753,-93.2650108,143233,1631,38008,12941,9523,1190,23,7892
"202","Minot, ND",48.2329668,-101.2922906,1957,36,396,99,79,28,5,101
"203","Mission/McAllen/Edinburg, TX",26.2159066,-98.3252932,2815,76,536,169,160,15,1,175
"204","Missoula, MT",46.8721284,-113.9940314,2481,10,549,152,79,20,0,162
"205","Mobile, AL",30.6953657,-88.0398912,4556,134,967,354,206,23,0,397
"206","Moline, IL",41.5067003,-90.5151342,3658,70,921,357,213,45,1,387
"207","Monroe, LA",32.5093109,-92.1193012,2311,43,493,175,127,13,0,221
"208","Monterey, CA",36.6002378,-121.8946761,2839,54,706,407,74,5,0,373
"209","Montgomery, AL",32.3668052,-86.2999689,2228,50,741,236,196,19,1,313
"210","Montrose/Delta, CO",38.7030605,-108.0300893,920,19,248,102,41,3,1,122
"211","Mosinee, WI",44.7930232,-89.7031784,1704,51,350,185,72,12,1,185
"212","Muskegon, MI",43.2341813,-86.2483921,686,28,159,76,12,1,0,99
"213","Myrtle Beach, SC",33.6890603,-78.8866943,7669,195,1984,890,315,13,5,457
"214","Nantucket, MA",41.2834704,-70.099451,665,22,362,135,96,4,25,134
"215","Nashville, TN",36.1626638,-86.7816016,61065,825,24051,5302,5779,418,35,6670
"216","New Bern/Morehead/Beaufort, NC",34.6988297,-76.7239774,826,25,196,54,51,8,0,71
"217","New Haven, CT",41.308274,-72.9278835,344,53,77,34,32,1,0,32
"218","New Orleans, LA",29.9510658,-90.0715323,50904,860,19091,4602,4683,528,22,5625
"219","New York, NY",40.7127753,-74.0059728,218826,7898,73127,27273,24910,2218,176,22707
"220","Newark, NJ",40.735657,-74.1723667,123906,3800,42503,15218,14557,1124,57,16278
"221","Newburgh/Poughkeepsie, NY",41.6230989,-73.7477857,1516,49,611,189,201,10,4,334
"222","Newport News/Williamsburg, VA",37.131667,-76.492778,1663,45,428,95,91,8,0,160
"223","Niagara Falls, NY",43.0962143,-79.0377388,608,26,170,80,36,4,0,56
"224","Nome, AK",64.5011111,-165.4063889,718,31,157,59,19,10,16,45
"225","Norfolk, VA",36.8507689,-76.2858726,14663,472,4335,1300,1116,73,7,1253
"226","North Bend/Coos Bay, OR",43.4065012,-124.2242803,326,14,140,48,6,2,0,93
"227","North Platte, NE",41.1402759,-100.7601454,150,3,17,12,2,1,0,10
"228","Oakland, CA",37.8043637,-122.2711137,51222,563,23832,4309,6252,107,48,6392
"229","Ogden, UT",41.223,-111.9738304,55,1,29,6,5,0,0,3
"230","Ogdensburg, NY",44.6942291,-75.4863364,68,5,30,15,4,1,0,7
"231","Oklahoma City, OK",35.4675602,-97.5164276,17167,191,4881,1125,1059,124,8,1527
"232","Omaha, NE",41.2565369,-95.9345034,20869,229,5655,1756,1322,96,3,1716
"233","Ontario, CA",34.0633443,-117.6508876,21106,180,8099,1721,1646,47,23,2529
"234","Orlando, FL",28.5383355,-81.3792365,129151,2450,49036,12172,12578,1634,131,12699
"235","Owensboro, KY",37.7719074,-87.1111676,37,3,20,6,6,2,0,10
"236","Paducah, KY",37.0833893,-88.6000478,688,24,155,83,24,4,1,60
"237","Palm Springs, CA",33.8302961,-116.5452921,9599,71,2405,875,520,27,5,625
"238","Panama City, FL",30.1588129,-85.6602058,4512,76,1220,236,258,34,0,389
"239","Pasco/Kennewick/Richland, WA",46.2086683,-119.119948,3804,53,747,282,113,19,1,352
"240","Pellston, MI",45.552789,-84.7839364,1024,56,258,45,24,8,4,97
"241","Pensacola, FL",30.421309,-87.2169149,6872,121,1583,371,318,36,3,512
"242","Peoria, IL",40.6936488,-89.5889864,3653,76,969,358,248,61,2,408
"243","Petersburg, AK",56.8125,-132.9555556,726,16,145,54,12,4,2,59
"244","Philadelphia, PA",39.9525839,-75.1652215,85047,2192,29057,11357,9515,596,65,8062
"245","Phoenix, AZ",33.4483771,-112.0740373,162296,962,60665,11347,14019,343,166,15217
"246","Pittsburgh, PA",40.4406248,-79.9958864,35199,622,9901,3600,2255,207,12,2841
"247","Plattsburgh, NY",44.6994873,-73.4529124,561,9,193,92,49,7,1,61
"248","Pocatello, ID",42.8621042,-112.4506191,1068,2,192,105,19,3,0,84
"249","Portland, ME",43.6590993,-70.2568189,7327,358,2203,875,581,42,3,785
"250","Portland, OR",45.5122308,-122.6587185,63687,388,18606,4944,3880,236,18,4216
"251","Portsmouth, NH",43.0717552,-70.7625532,117,5,50,14,13,3,0,22
"252","Providence, RI",41.8239891,-71.4128343,15390,466,4845,1617,1255,79,3,1323
"253","Provo, UT",40.2338438,-111.6585337,169,4,58,12,14,2,0,21
"254","Pueblo, CO",38.2544472,-104.6091409,329,5,75,42,15,2,2,28
"255","Punta Gorda, FL",26.9297836,-82.0453664,1976,6,667,190,194,15,10,185
"256","Quincy, IL",39.9356016,-91.4098726,384,28,112,44,11,1,0,69
"257","Raleigh/Durham, NC",35.8991678,-78.8636402,43547,852,15224,4620,3946,329,19,4559
"258","Rapid City, SD",44.0805434,-103.2310149,3545,45,749,217,128,37,2,256
"259","Redding, CA",40.5865396,-122.3916754,1065,31,247,152,14,2,0,120
"260","Reno, NV",39.5296329,-119.8138027,16590,120,6026,1405,1330,67,5,1954
"261","Rhinelander, WI",45.6366228,-89.4120753,726,20,104,46,25,4,3,36
"262","Richmond, VA",37.5407246,-77.4360481,18166,417,5769,2108,1751,93,12,1739
"263","Roanoke, VA",37.2709704,-79.9414266,1765,43,641,184,157,14,0,237
"264","Rochester, MN",44.0121221,-92.4801989,3117,81,810,409,221,36,2,400
"265","Rochester, NY",43.1565779,-77.6088465,9693,320,2758,1069,651,88,3,905
"266","Rock Springs, WY",41.5874644,-109.2029043,673,8,113,32,9,7,2,32
"267","Rockford, IL",42.2711311,-89.0939952,258,1,83,30,26,2,1,26
"268","Roswell, NM",33.3942655,-104.5230242,715,13,137,42,39,5,1,43
"269","Sacramento, CA",38.5815719,-121.4943996,45838,297,16442,3205,3491,124,12,4966
"270","Saginaw/Bay City/Midland, MI",43.538647,-84.081498,2711,44,471,195,107,22,0,212
"271","Salina, KS",38.8402805,-97.6114237,56,0,18,10,1,0,0,10
"272","Salt Lake City, UT",40.7607793,-111.8910474,112248,366,30606,6984,6844,902,25,6272
"273","San Angelo, TX",31.4637723,-100.4370375,1074,20,264,84,82,13,0,101
"274","San Antonio, TX",29.4241219,-98.4936282,35319,427,11672,2418,2806,146,8,3412
"275","San Diego, CA",32.715738,-117.1610838,86872,868,30610,7693,6306,208,83,8588
"276","San Francisco, CA",37.7749295,-122.4194155,177658,2550,62732,22367,16560,553,104,21633
"277","San Jose, CA",37.3382082,-121.8863286,51177,397,18771,3552,4924,105,68,5535
"278","San Luis Obispo, CA",35.2827524,-120.6596156,3818,70,1072,580,167,7,6,452
"279","Sanford, FL",28.8028612,-81.269453,3306,18,1104,328,416,35,8,292
"280","Santa Ana, CA",33.7454725,-117.867653,41953,333,14658,3200,2686,142,5,4005
"281","Santa Barbara, CA",34.4208305,-119.6981901,5830,111,1326,626,140,16,0,593
"282","Santa Fe, NM",35.6869752,-105.937799,1456,11,286,66,73,1,0,128
"283","Santa Maria, CA",34.9530337,-120.4357191,52,0,19,4,5,0,0,3
"284","Santa Rosa, CA",38.440429,-122.7140548,1482,76,492,265,113,4,4,248
"285","Sarasota/Bradenton, FL",27.3364347,-82.5306527,3924,81,1083,293,283,17,1,336
"286","Sault Ste. Marie, MI",46.4977115,-84.3475876,676,15,186,102,51,6,11,65
"287","Savannah, GA",32.0808989,-81.091203,9945,316,2844,821,588,77,1,814
"288","Scottsbluff, NE",41.8666341,-103.6671662,155,2,24,22,7,0,0,14
"289","Scranton/Wilkes-Barre, PA",41.2981769,-75.9927652,2407,63,669,273,145,27,0,220
"290","Seattle, WA",47.6062095,-122.3320708,139132,694,43811,13523,9365,859,97,9140
"291","Shreveport, LA",32.5251516,-93.7501789,5285,109,1209,414,309,26,0,503
"292","Sioux City, IA",42.4963416,-96.4049408,397,22,142,57,30,15,2,56
"293","Sioux Falls, SD",43.5445959,-96.7311034,4990,82,1335,529,324,83,6,463
"294","Sitka, AK",57.0530556,-135.33,1344,12,227,65,32,11,5,66
"295","South Bend, IN",41.6763545,-86.2519898,5653,86,1465,616,445,86,4,436
"296","Spokane, WA",47.6587802,-117.4260465,12143,66,3296,981,588,64,3,969
"297","Springfield, IL",39.7817213,-89.6501481,1295,30,313,145,74,7,0,131
"298","Springfield, MO",37.2089572,-93.2922989,4699,118,1232,498,289,103,0,393
"299","St. Augustine, FL",29.9012437,-81.3124341,60,0,36,15,15,0,0,26
"300","St. Cloud, MN",45.5579451,-94.1632404,71,1,28,7,5,0,2,9
"301","St. George, UT",37.0965278,-113.5684164,3030,4,621,203,96,4,0,195
"302","St. Louis, MO",38.6270025,-90.1994042,59350,733,25478,5024,5856,367,20,6516
"303","St. Petersburg, FL",27.7676008,-82.6402915,2559,12,508,145,172,28,0,119
"304","State College, PA",40.7933949,-77.8600012,1494,16,367,137,69,20,1,161
"305","Staunton, VA",38.149576,-79.0716958,74,1,19,6,3,1,0,4
"306","Stillwater, OK",36.1156071,-97.0583681,227,6,44,15,11,4,0,16
"307","Stockton, CA",37.9577016,-121.2907796,223,0,151,29,60,5,2,81
"308","Sun Valley/Hailey/Ketchum, ID",43.6761518,-114.3311763,1277,107,240,115,32,4,2,92
"309","Syracuse, NY",43.0481221,-76.1474244,8781,311,2244,1030,593,89,5,747
"310","Tallahassee, FL",30.4382559,-84.2807329,3348,54,794,215,196,29,0,276
"311","Tampa, FL",27.950575,-82.4571776,70944,1360,25453,5864,6434,698,17,7632
"312","Texarkana, AR",33.4417915,-94.0376881,329,21,68,22,14,7,0,18
"313","Toledo, OH",41.6528052,-83.5378674,942,27,282,100,63,14,0,122
"314","Traverse City, MI",44.7630567,-85.6206317,3272,74,928,375,155,31,2,475
"315","Trenton, NJ",40.2205824,-74.759717,2149,45,749,248,213,36,0,238
"316","Tucson, AZ",32.2226066,-110.9747108,15958,91,4823,1268,1082,81,7,1267
"317","Tulsa, OK",36.1539816,-95.992775,14779,192,4024,911,820,82,6,1232
"318","Twin Falls, ID",42.5558381,-114.4700518,1169,9,219,90,29,18,1,83
"319","Tyler, TX",32.3512601,-95.3010624,478,28,138,43,22,7,0,52
"320","Valdosta, GA",30.8327022,-83.2784851,668,5,180,67,57,5,0,63
